,startTime,peakVelocityTime,stopTime,amplitude,angle,peakVelocity
0,5527.186551,5527.189884,5527.196551,1.845735025900353,5.044572077271933,196.63913476842936
1,5530.766576,5530.779909,5530.793242,4.164121593504562,94.14720256297082,220.43899611774498
2,5531.163242,5531.173242,5531.181576,1.9112633424494796,-161.34744919848498,144.13305482895788
3,5531.304909,5531.314909,5531.333242,3.9585583032558436,-55.95317528149226,224.90824258176792
4,5547.919967,5547.924967,5547.9333,1.0125571072568387,28.384163283435058,86.62679924167902
5,5558.378338,5558.390005,5558.420005,5.17721132562564,162.85431598496604,217.36233980599025
6,5558.923337,5558.945004,5558.975004,7.073801501401013,100.95972285466513,221.4187845758429
7,5559.231671,5559.260004,5559.276671,7.103751427619844,-76.6675862112806,240.72377797861574
8,5560.501692,5560.513358,5560.540025,3.2200909260997284,-10.858897626473972,150.66708555219253
9,5566.536707,5566.54504,5566.56004,1.7546463154759295,64.22308735483094,111.92617745328926
10,5567.356706,5567.363372,5567.381706,1.6708824926844403,-112.08366032241612,135.97776942850874
11,5591.80515,5591.826817,5591.828483,0.8542889533299184,128.88016283190782,48.4178824926655
12,5593.24015,5593.248483,5593.27015,1.9432702379262117,150.86456260694294,107.96813491474342
13,5593.648483,5593.66015,5593.68015,2.968915543475597,-13.743857214262672,121.68496325078831
14,5593.946818,5593.956818,5593.983484,3.2167754792647028,-29.747346512719982,146.77004253479333
15,5594.218484,5594.226818,5594.258484,3.8811830146399284,-8.887409013741484,156.97350844788335
16,5594.876841,5594.878507,5594.896841,3.758583974060981,179.64790834689677,269.2027955887434
17,5595.121841,5595.128507,5595.136841,0.9744197840289901,18.275571673535495,87.7731447837921
18,5625.723629,5625.731963,5625.745296,1.5830166101394973,108.00470260246706,94.78700599687616
19,5626.116963,5626.138629,5626.161963,8.844466871524311,120.5009602435395,510.23081158812744
20,5628.286974,5628.286974,5628.311974,4.678204223615532,-12.306927839367722,258.2677840149203
21,5628.466974,5628.47864,5628.496974,3.5985545275659394,2.0163552655405086,202.91859623103954
22,5628.776974,5628.80864,5628.81864,10.432791469434484,93.23355476726361,338.21596071290696
23,5628.946974,5628.951974,5628.971974,2.606549378252529,74.49651006566141,160.6912828943774
24,5629.295305,5629.296972,5629.335305,9.767353473556177,-174.65901624386925,334.67092315944615
25,5629.725304,5629.731971,5629.740304,1.1670767931721993,-172.36028535043647,114.77844626899055
26,5634.348648,5634.358648,5634.376982,2.7248316320663757,163.70426456878945,161.72163420311614
27,5634.573648,5634.583648,5634.601982,3.038274039857015,-13.017629875498054,196.62903521627857
28,5637.010313,5637.015313,5637.02698,0.9184050567221727,93.41853290533798,73.47076992852796
