,startTime,peakVelocityTime,stopTime,amplitude,angle,peakVelocity
0,16129.725627,16129.732293,16129.738959,1.3886312515528993,-49.37253417848252,135.3032355693602
1,16151.692373,16151.700706,16151.722375,2.692248150211441,171.52924158985198,126.88505705611828
2,16152.262376,16152.269043,16152.277376,1.8004316607876594,-12.551315183207166,184.6672243554723
3,16152.502377,16152.507379,16152.515712,1.5185303064833109,-6.689086869771799,164.6134181839729
4,16153.370716,16153.379049,16153.387382,1.4941260925789854,-82.86309433094411,129.10243309762353
5,16153.644049,16153.650714,16153.66405,1.765173983223597,103.53556389804658,124.07500756406913
6,16162.274072,16162.27907,16162.299071,1.777535161593712,178.6098461330261,99.7778831323354
7,16162.585739,16162.592405,16162.595739,0.8443037087545706,-12.192638264350446,110.6587417987538
8,16162.997408,16163.029074,16163.037407,6.359286214260887,171.15834616626086,856.5850193458499
9,16163.042405,16163.052406,16163.054073,0.9645947823078302,1.5330731449711616,878.5258841823928
10,16163.182407,16163.199073,16163.22574,9.323325745271488,21.15964977590669,415.26835901749826
11,16163.345743,16163.370742,16163.402408,14.563048580220249,-163.19145093995112,383.72272211140614
12,16163.737411,16163.744077,16163.749075,0.9718190086441403,-174.08179567342572,95.7392543313143
13,16166.399084,16166.407417,16166.429087,3.059415005104639,-152.25038567482295,153.9405450211442
14,16166.765753,16166.775754,16166.795755,2.4207529387437683,1.4055429818678715,186.59226040566034
15,16166.880754,16166.884085,16166.897421,0.8994206397000658,87.04869372640093,85.60945734084117
16,16173.634115,16173.640781,16173.650781,1.0804884282374891,-177.01166347565368,87.44635054983448
17,16191.775852,16191.782518,16191.800852,1.5949928488550478,175.50689146855558,98.89106544338043
18,16196.180872,16196.219203,16196.234202,9.963579201938494,173.95475352128204,251.52989773458475
19,16196.43587,16196.444203,16196.47754,5.198121059037798,168.79678704773252,180.9683297096414
20,16196.732537,16196.739203,16196.769204,4.163542962150754,158.1771139022607,158.62067093576593
21,16196.952539,16196.960872,16196.982541,4.6472643934052495,13.066070228002863,248.63392447453478
22,16197.12754,16197.172541,16197.205874,18.350917911888388,-6.628267987451851,324.7630552587823
23,16197.454206,16197.462539,16197.485875,3.4366836116186894,-144.15456063064622,185.13734189594035
24,16198.639211,16198.647544,16198.664214,2.2752854418033435,167.1092361346521,141.3870911881532
25,16199.332549,16199.339214,16199.360883,2.592532793197922,144.85046538653452,182.89157738372737
26,16199.684215,16199.690884,16199.712549,2.4134980905685297,-12.373855042652208,127.10267397181502
27,16200.040879,16200.05088,16200.077547,5.611632839120988,16.14476542779017,242.9924484803832
28,16200.354217,16200.359216,16200.364214,0.8638192064017935,-153.27955242024504,92.73868029945307
29,16201.067553,16201.080885,16201.104217,4.724079847687603,-177.4242879313392,394.13961131872946
30,16201.789222,16201.797555,16201.822555,2.076921865730079,-39.34049857074997,111.77322494646214
31,16202.215891,16202.220889,16202.244225,1.990644983749208,-160.90769835354004,101.83914767916905
32,16202.424225,16202.429223,16202.44589,2.0107974437177543,-14.12424696467771,153.9590249052215
33,16202.81756,16202.824226,16202.829224,0.7211722901385383,-11.573164813133422,72.12134678898668
34,16210.275924,16210.282589,16210.289255,1.0462944181813554,-4.984396481029704,93.23280275990837
35,16210.945926,16210.947594,16210.955927,0.9712456851738434,109.7967683869169,96.21405164536381
36,16211.277596,16211.282595,16211.299261,1.1764384851606424,-179.96928649579758,81.38534359602656
37,16211.960931,16211.967597,16211.979265,1.1212082653841702,-51.29347026546528,79.29398349449897
38,16212.93927,16212.945936,16212.952602,1.112176717968083,74.20095552549793,100.35486495528714
39,16217.52762,16217.534286,16217.55262,2.3915982007630427,-171.06279459945645,138.26169398358363
40,16217.970956,16217.979289,16218.002625,2.839140078616817,-2.6819963074095834,156.20986082717468
41,16229.932671,16229.959338,16229.996006,10.75952852044108,-167.12429276280307,250.19581204349004
42,16230.19434,16230.202673,16230.251008,11.128361900937492,21.01328878959533,283.76557106320524
43,16230.414342,16230.42601,16230.487677,14.726751948709834,171.08078579190206,283.917965725107
44,16230.632677,16230.639343,16230.664343,2.3695092342751485,154.87845510578117,139.94638828824327
45,16230.901011,16230.901011,16230.922679,4.43012077551866,-4.902441486603806,297.5300133445819
46,16231.826016,16231.832682,16231.837684,1.0116476167365551,17.260552966595178,97.45907292172782
47,16232.386021,16232.392686,16232.401019,2.2144224408116373,90.29776947070522,189.779357309003
48,16233.26269,16233.286022,16233.296023,3.9906252625768506,-89.91363682684911,179.64742342338224
49,16235.004361,16235.011027,16235.022695,2.0280306603015283,76.4962914128399,175.7940684026807
50,16259.639461,16259.647794,16259.672794,4.24169395695038,173.77143572945914,193.83375868547944
51,16259.877792,16259.884458,16259.906126,4.188045794344401,-16.42886167029417,219.87392011256173
52,16265.169479,16265.199477,16265.229479,13.437528936182497,179.69667114885792,331.96297271321964
53,16265.36948,16265.382812,16265.426145,14.845723666237214,8.606011156281326,375.2978970476723
0,16402.240023,16402.251691,16402.273356,8.032148020222369,19.591066678780283,381.9296776146715
1,16402.485022,16402.491687,16402.498353,1.3927938222655825,-111.09161456095129,134.47142805769118
2,16402.983358,16402.993358,16403.015023,3.762492388471224,163.14477484111558,179.29085561183678
3,16440.520185,16440.523516,16440.536851,1.0640684225151473,-62.25264680762732,88.13038640727873
4,16445.290203,16445.290203,16445.310204,2.9222728288362667,-19.525825980281176,164.7701167843381
5,16459.443595,16459.451929,16459.460262,1.6323924448889113,-53.3554104870961,141.98179748787717
6,16460.008598,16460.016931,16460.025264,1.894932569575925,113.17665241162847,147.96578744682688
7,16466.923626,16466.94863,16466.988628,16.63231049604317,160.88784908549462,385.26804292467693
8,16467.153629,16467.163629,16467.190296,4.840353822559263,175.12039184209036,214.08732242666343
9,16470.488644,16470.495309,16470.503643,1.7061790918799553,-13.872609520266112,152.7871410897717
10,16470.840309,16470.848642,16470.863645,3.204567661142898,81.50257025929297,185.09531793729872
11,16471.260312,16471.26531,16471.278645,1.5256912497687853,6.024071185361209,111.17088364869545
12,16472.616984,16472.626985,16472.651984,3.937672948480007,-147.49046538790475,233.70223127795373
13,16487.783714,16487.792047,16487.80038,2.1191339163325815,77.0255761863064,168.9287236565441
14,16488.253715,16488.260381,16488.270382,1.8794757240726954,-125.66620788276953,151.80100413146184
15,16489.340386,16489.350386,16489.367053,2.972906076160483,158.03855332456754,155.4597214415798
16,16489.628721,16489.635387,16489.645388,2.1047855917770053,-39.6679326815115,168.3360946051052
17,16498.243758,16498.250424,16498.255426,0.8590773002081304,-173.0943311753998,81.4650911695511
18,16498.260424,16498.26709,16498.273759,0.7096263790770965,176.17799295412314,61.62132488868147
19,16501.427105,16501.513773,16501.522106,17.078737133501335,165.9262460378693,445.43644885099627
20,16501.530439,16501.537105,16501.57544,5.508530450812978,164.62885799282117,194.53828332237902
21,16501.718772,16501.757107,16501.795438,20.34704750326472,-14.406161562953468,374.08372797353417
22,16525.953864,16525.96053,16525.975529,2.133633657518727,26.006526101493264,152.65249353587814
23,16526.842199,16526.848864,16526.853867,0.7275507398684433,-169.0503265691436,76.35499683276794
24,16528.178874,16528.18554,16528.192205,1.5064710987511607,42.51276258523719,139.75473657330423
25,16529.097209,16529.103875,16529.108877,1.0664297771544142,-173.25278900890916,108.40717433500079
26,16529.492212,16529.498878,16529.502213,0.434363345548585,-1.2912749608807608,49.90070612747362
27,16535.470571,16535.532238,16535.592239,20.162151259909137,170.45093298293324,224.18981589168263
