,startTime,peakVelocityTime,stopTime,amplitude,angle,peakVelocity
0,33735.322843,33735.332844,33735.33951,2.0885690943193804,-124.89839338198398,181.63868118241803
1,33768.094641,33768.104642,33768.136307,3.4871591816437295,75.0788643198895,122.3500142315911
2,33768.659643,33768.669643,33768.694644,3.0607813858994435,-106.74114052100909,136.13737413093077
3,33776.633023,33776.641356,33776.644691,0.7959708855563468,15.154017878907743,88.43258339761644
4,33834.453303,33834.466638,33834.516637,9.04792275751003,179.7265692124812,194.81737343843236
5,33834.989973,33835.026638,33835.058307,18.593359393928445,-0.020418963868757196,393.689408904003
6,33835.518307,33835.524973,33835.528307,0.7249560528146753,173.0795075106204,82.87311358079671
7,33837.431649,33837.439982,33837.446652,1.2490372328455754,-73.79261971587508,107.02567333141744
0,34081.97122,34081.979553,34081.987887,2.146021680410737,-123.2530731194867,181.56400767282062
1,34093.846285,34093.851288,34093.856287,0.5510031141870682,15.669167641697657,63.7743506005489
2,34114.681391,34114.69639,34114.738056,7.077511651420928,-99.34209735352059,174.69875288474685
3,34116.031397,34116.03973,34116.044728,1.5218962690633837,-118.36608346026186,150.59721845639882
4,34147.986545,34147.993211,34147.998209,0.8790252481657301,-165.65844003073278,88.02745788733446
5,34149.644885,34149.649887,34149.656553,1.0641353327176626,26.176449030291444,113.53180798965386
6,34149.661551,34149.666553,34149.673219,0.4522683529620123,164.6210003110908,47.28316504464158
7,34181.400052,34181.403386,34181.423384,1.3106589526704702,132.04387402591735,94.5891047842039
8,34182.440058,34182.448391,34182.455057,0.9264209647767689,-0.7490275781126251,78.38980857366103
9,34182.965057,34182.97006,34182.978393,0.7386571701854179,-22.12257472833028,66.03188980488024
10,34183.233395,34183.238393,34183.243392,0.42431363597158944,2.75990482306287,47.54584197766658
11,34183.886731,34183.895064,34183.923396,4.614011838025264,-170.26152373386432,195.1306599733693
12,34184.055063,34184.066731,34184.08173,4.230967458984065,-8.06539297934788,246.1971042285654
13,34184.438398,34184.441733,34184.450066,0.745907058906877,-65.97010707394614,70.68177878014757
14,34190.943432,34190.953429,34191.003432,5.573279002211958,-104.04170863106854,173.79826426940076
15,34191.080098,34191.088432,34191.090099,2.433690293644393,-90.64102174086102,265.90843454695613
16,34191.651767,34191.658432,34191.663435,0.6982854999828699,152.40531042253906,68.61096886122981
17,34203.611833,34203.618503,34203.621834,0.5417131257079442,162.16426030433817,72.29704027102547
18,34203.626836,34203.631835,34203.636834,0.41023471640227605,-10.199466643967847,42.18592554399517
19,34217.366911,34217.393578,34217.416915,16.97412144852208,-86.60748609385428,451.97053126331593
0,34374.409402,34374.412733,34374.427732,0.18487315104119945,151.0014411730949,74.624998531977
1,34374.6294,34374.637733,34374.646066,1.9670602620672626,52.01529506927442,163.92909478284946
2,34406.599559,34406.606225,34406.614558,0.6667257398194597,-176.15039427109176,56.313276387677035
3,34407.134564,34407.142897,34407.149563,1.571387098940152,-159.69017168370067,134.57458118795822
4,34407.229564,34407.237897,34407.257895,2.751177105607171,-148.503843681225,169.66285998440125
5,34408.39457,34408.426235,34408.457904,5.950218651488259,34.04378185417244,152.35692179004127
6,34408.687904,34408.694574,34408.699572,0.757655163526576,-54.10468845194383,71.09522659556268
7,34457.503159,34457.509824,34457.513159,0.5716717023383242,-166.7452405202894,65.71920289556442
8,34465.47487,34465.481539,34465.48487,0.40321477109165516,57.50432123018791,39.95039411810459
9,34472.143242,34472.14824,34472.153242,0.4159974407572653,16.120660299263704,46.62289812262985
10,34473.988251,34473.991585,34473.999919,1.1386292375324063,-160.43441362573512,109.59285283731818
11,34475.12159,34475.129923,34475.136589,1.5748774830726258,169.93066437603846,145.4745586268063
12,34476.728266,34476.733265,34476.739931,0.6794992110031098,173.3336269580966,64.78172138883244
13,34507.950091,34507.951759,34507.960092,0.49963114730253877,28.024603171861106,48.82952095494685
14,34508.363428,34508.375096,34508.400096,4.783241668755199,-169.4274374510253,207.29809169466353
15,34509.961767,34509.968437,34509.975103,0.9547063643040352,46.663318064902576,92.48680858459227
0,34810.20006,34810.208393,34810.215059,1.7509753400162902,-130.78423099275219,159.58779835262823
1,34839.465206,34839.470208,34839.475206,0.47718334246021704,128.65729587234682,56.732344043239976
2,34843.695232,34843.701898,34843.711899,1.5079493134768112,-54.371955958333764,114.61235224837921
3,34876.965426,34876.965426,34876.978758,0.8974068248709621,100.07615537401975,120.7401955319703
4,34878.210432,34878.218766,34878.227099,1.8120811958615826,-129.97326772809063,143.07605653641826
5,34910.165608,34910.172274,34910.180608,1.7838044292008726,-171.56677479236092,166.5436003442059
6,34911.415615,34911.425615,34911.450615,3.219104586534197,-116.41276656881615,143.88255412856068
7,34912.302284,34912.30895,34912.318952,1.6647353746425129,-53.807096316320504,139.59605432492975
8,34916.882309,34916.888979,34916.893977,0.6228350743269317,6.581578154559281,64.558180254906
9,34922.712342,34922.717344,34922.722342,0.3479436132781085,77.73876054784513,42.742447677990505
10,34935.372406,34935.375741,34935.382406,0.4839653344745518,78.78469405335014,53.59854398454423
11,34944.934129,34944.940795,34944.94413,0.5464527333959257,23.293697671637588,64.71415391368868
0,35192.44217,35192.448836,35192.455502,1.3398136206282039,87.10714781290537,135.38480407114776
1,35226.522351,35226.529016,35226.535682,0.904877641369854,-101.14521348000962,82.98296020225567
2,35259.102537,35259.112538,35259.124202,1.2197911417155534,-58.41888544255239,72.55470941082251
3,35260.467545,35260.475878,35260.484211,1.5026405698907674,-150.39090106429532,127.22539230473333
4,35272.58928,35272.595946,35272.60428,1.048072764471782,174.7991767027751,86.4390743318655
5,35291.246061,35291.279394,35291.281062,9.745042712473314,-95.68790703062544,356.9720058372233
6,35292.461066,35292.469399,35292.474401,0.8499413468092127,59.71211500551866,81.17922354337021
7,35292.477733,35292.484402,35292.491068,0.5570756161438621,65.56874932179143,56.77264131384648
8,35293.372739,35293.40774,35293.426073,14.612979373588498,-93.51393033686912,376.8233460226048
9,35294.837747,35294.842745,35294.852746,1.224901719590179,-114.69052578482352,93.61028272773075
0,35542.939119,35542.947452,35542.955785,1.8298633631071897,134.4529583785828,150.52805125050867
1,35573.820971,35573.845971,35573.854307,3.9881800251613977,-176.37018070606774,155.9431234314252
2,35576.394321,35576.400987,35576.422655,1.7356622184930128,48.51914837521585,84.93172812514575
3,35577.019323,35577.029324,35577.042659,3.267558539580284,-101.29375484687813,233.90771913184943
4,35609.506154,35609.519489,35609.574487,14.465113153813455,166.70432861081918,308.4909356769757
5,35642.026342,35642.028006,35642.063006,7.310680657802057,-169.49229814989107,255.1690957523963
6,35642.308007,35642.311342,35642.318008,0.6470040357228556,-143.70338029792055,73.75377647058916
7,35642.796344,35642.803009,35642.809679,0.9778292766536263,-121.2548662490528,89.69678221758477
8,35676.389871,35676.418205,35676.436539,7.700575537847922,-170.35916115661462,217.63914248266485
9,35676.573205,35676.584873,35676.608205,5.89947696801198,-166.7545823290286,261.66457864630144
10,35678.686557,35678.691555,35678.696554,0.5839182325640202,16.481701568574888,68.371189183088
0,35942.493038,35942.499704,35942.509704,1.4040819639426845,36.83657052996441,113.84577438420605
1,35974.273205,35974.279876,35974.284874,0.7326234901729071,-159.00478118968329,68.58353691464849
2,35976.363218,35976.366553,35976.379888,1.1356719797519486,-155.51497069264977,78.21454241185192
3,35976.611555,35976.619888,35976.626554,1.1565496009399259,-81.56562040749951,98.6987701394655
4,36007.433402,36007.44507,36007.471733,4.822756485995355,-170.24297185668033,199.47625779895594
5,36009.128409,36009.140077,36009.165077,5.416771071357358,-169.49405662952097,244.0620112615332
6,36009.59508,36009.606744,36009.651746,13.331162040084429,-61.724661608284016,349.75194428491267
7,36009.980083,36009.99008,36010.035081,13.575664149815422,93.97112759877692,380.18224744177985
8,36010.400083,36010.408416,36010.421751,1.97053325316671,-50.080727013154025,152.12532550355326
9,36041.54527,36041.550268,36041.556938,1.034616597021178,-166.1484361100217,98.82739621957535
10,36041.866939,36041.870274,36041.883606,0.6985932587198179,7.834348281945475,54.751217945486076
0,36232.078016,36232.084682,36232.093015,1.2304451531612872,67.91068630865365,118.90214509001063
1,36266.049883,36266.058216,36266.069884,2.112050790544525,61.89933538278129,155.5092540208214
2,36266.073215,36266.079881,36266.084883,0.4506947159997855,102.46713870844158,46.988703028824446
3,36266.358215,36266.366548,36266.373218,1.0258004079798393,-128.189236486791,90.09971150994139
4,36299.891717,36299.901718,36299.960054,8.386859738650598,22.180439887596044,176.97390056429765
5,36300.171719,36300.181719,36300.193387,3.1318627687373266,-155.4191114323042,216.46064038200623
6,36331.366883,36331.37522,36331.378551,1.2991516690687634,-130.54967515681983,139.99724309561208
7,36332.403556,36332.413556,36332.440223,4.425344092803721,-118.08323195155842,195.4935652773956
8,36332.835227,36332.841892,36332.848558,1.298351135653819,-162.21424867305345,127.67976106433292
9,36333.391897,36333.403565,36333.451896,9.596315343105037,54.42617844720905,265.0216043866353
10,36333.776899,36333.783565,36333.7869,0.573702873768644,167.8379295455502,68.80530796029704
11,36333.9819,36333.993568,36334.013569,5.497115204926209,-177.76260189164807,224.60640107216537
12,36334.133569,36334.145237,36334.165234,5.2027726421990055,-16.910218129530264,307.5850031396478
13,36337.171923,36337.178593,36337.181924,0.6417677488439845,87.57164603832975,78.1545602076111
14,36342.166954,36342.171952,36342.178622,0.7225317816594572,177.5945669239172,76.65719933833553
