system_time_stamp	left_gaze_point_on_display_area_x	left_gaze_point_on_display_area_y	right_gaze_point_on_display_area_x	right_gaze_point_on_display_area_y
21469987607	0.4728187918663025	0.48597824573516846	0.42478203773498535	0.49400126934051514
21469989273	0.47413408756256104	0.48382383584976196	0.4227260947227478	0.49128633737564087
21469990940	0.4732045531272888	0.4855266809463501	0.42551952600479126	0.49176281690597534
21469992607	0.4745018482208252	0.4841242730617523	0.42513972520828247	0.4896557927131653
21469994273	0.4749571681022644	0.48995596170425415	0.4240190386772156	0.4888952374458313
21469995940	0.4736213684082031	0.4862908720970154	0.42402946949005127	0.4921489953994751
21469997607	0.4741864800453186	0.4883076548576355	0.424212783575058	0.4954664409160614
21469999273	0.4747008979320526	0.49167120456695557	0.4234856963157654	0.4814220070838928
21470000940	0.47373735904693604	0.48895519971847534	0.4257690906524658	0.48411208391189575
21470002607	0.4763069748878479	0.48853594064712524	0.42297181487083435	0.4917026162147522
21470004273	0.47384652495384216	0.49480774998664856	0.42408180236816406	0.4851120710372925
21470005940	0.47323334217071533	0.4854174256324768	0.4252948760986328	0.48340368270874023
21470007607	0.47201257944107056	0.4885677993297577	0.42374807596206665	0.4883783161640167
21470009273	0.47384583950042725	0.4916800558567047	0.4274232089519501	0.47848474979400635
21470010940	0.47323471307754517	0.49450090527534485	0.42194658517837524	0.503126859664917
21470012607	0.4742070436477661	0.492949903011322	0.426852285861969	0.4806021749973297
21470014273	0.47419583797454834	0.49150705337524414	0.4262186884880066	0.48281699419021606
21470015940	0.47627824544906616	0.489099383354187	0.42571455240249634	0.4870970845222473
21470017607	0.47266918420791626	0.4959578514099121	0.42530500888824463	0.4833241105079651
21470019273	0.47485026717185974	0.4871390461921692	0.426099956035614	0.4858037233352661
21470020940	0.47227853536605835	0.4945170283317566	0.42519423365592957	0.4815617799758911
21470022607	0.475797563791275	0.4889163076877594	0.4290083646774292	0.4846099615097046
21470024273	0.4748709797859192	0.49422287940979004	0.42587971687316895	0.4858291745185852
21470025940	0.4755171537399292	0.49128416180610657	0.42355504631996155	0.49795809388160706
21470027607	0.47380176186561584	0.4978293478488922	0.42514410614967346	0.49564263224601746
21470029273	0.4742952883243561	0.49523985385894775	0.42423856258392334	0.48967909812927246
21470030940	0.4728894829750061	0.49201500415802	0.4255029857158661	0.49441277980804443
21470032607	0.47422242164611816	0.5000240802764893	0.4226219654083252	0.4913669228553772
21470034273	0.4736620783805847	0.4936258792877197	0.4255483150482178	0.49231842160224915
21470035940	0.47557932138442993	0.4907653331756592	0.42421942949295044	0.4940062463283539
