,blockID,trialNumber,triggerName,timestamp_sys,timestamp_psyc,timestamp_tobii
0,pract,0,stimulusDisplayStart,1751018790.0101857,26.10129179999967,10219758810
1,pract,0,keyPress_Left,1751018816.3537061,52.445391799999925,10246102905
2,pract,0,keyPress_Right,1751018819.1947114,55.28678580000087,10248944301
3,pract,0,stimulusDisplayEnd,1751018820.027704,56.11948239999947,10249777032
4,pract,1,stimulusDisplayStart,1751018824.0452335,60.13713900000039,10253794682
5,pract,1,keyPress_Left,1751018827.5880861,63.679498100000274,10257337015
6,pract,1,keyPress_Right,1751018830.0538325,66.14588499999991,10259803431
7,pract,1,keyPress_Left,1751018833.346873,69.43860020000102,10263096117
8,pract,1,keyPress_Right,1751018844.2140439,80.30520160000015,10273962745
9,pract,1,stimulusDisplayEnd,1751018854.0719,90.16360710000117,10283821119
10,0,0,stimulusDisplayStart,1751018971.2139013,207.30592650000108,10400963447
11,0,0,keyPress_Left,1751018975.0153592,211.10643019999952,10404763977
12,0,0,keyPress_Right,1751018979.4658377,215.55757059999996,10409215088
13,0,0,keyPress_Left,1751018987.56636,223.6582598999994,10417315806
14,0,0,keyPress_Right,1751018990.9413593,227.03323799999998,10420690784
15,0,0,keyPress_Left,1751018994.5168664,230.60846680000031,10424266018
16,0,0,keyPress_Right,1751018997.6329181,233.7248870000003,10427382442
17,0,0,stimulusDisplayEnd,1751019001.274477,237.36609970000063,10431023641
18,0,1,stimulusDisplayStart,1751019005.2835996,241.37537019999945,10435032892
19,0,1,keyPress_Left,1751019008.7420936,244.83408489999965,10438491597
20,0,1,keyPress_Right,1751019011.4088736,247.50084090000018,10441158370
21,0,1,keyPress_Left,1751019014.643327,250.7346137000004,10444392127
22,0,1,keyPress_Right,1751019017.4768443,253.56848490000084,10447226049
23,0,1,keyPress_Left,1751019021.7767656,257.86794010000085,10451525452
24,0,1,keyPress_Right,1751019025.977672,262.06942789999994,10455726939
25,0,1,stimulusDisplayEnd,1751019035.3190126,271.4106979999997,10465068211
26,0,2,stimulusDisplayStart,1751019039.3288417,275.4199848999997,10469077499
27,0,2,keyPress_Right,1751019047.2872868,283.37861689999954,10477036131
28,0,2,keyPress_Left,1751019053.354405,289.44615909999993,10483103673
29,0,2,keyPress_Right,1751019063.0299864,299.1213217000004,10492778833
30,0,2,stimulusDisplayEnd,1751019069.3962235,305.48785150000003,10499145365
31,0,3,stimulusDisplayStart,1751019073.4052508,309.4967680000009,10503154280
32,0,3,keyPress_Left,1751019077.7482,313.83931680000023,10507496831
33,0,3,keyPress_Right,1751019078.1638336,314.25575039999967,10507913264
34,0,3,keyPress_Left,1751019082.6732476,318.7645193999997,10512422033
35,0,3,keyPress_Right,1751019091.4980047,327.5899874000006,10521247500
36,0,3,keyPress_Left,1751019103.2249389,339.31601969999974,10532973538
37,0,3,stimulusDisplayEnd,1751019103.4403956,339.5321669999994,10533189709
38,1,4,stimulusDisplayStart,1751019218.958651,455.0497957000007,10648707310
39,1,4,keyPress_Right,1751019220.758359,456.84963770000104,10650507152
40,1,4,keyPress_Left,1751019223.108128,459.2000796000011,10652857601
41,1,4,keyPress_Right,1751019231.750696,467.8423898000001,10661499963
42,1,4,keyPress_Left,1751019238.859545,474.95062379999945,10668608137
43,1,4,stimulusDisplayEnd,1751019249.0093558,485.10094410000056,10678758490
44,1,5,stimulusDisplayStart,1751019253.0177581,489.10926839999956,10682766789
45,1,5,keyPress_Right,1751019258.2693372,494.36054669999976,10688018060
46,1,5,keyPress_Left,1751019267.061044,503.15294019999965,10696810489
47,1,5,keyPress_Left,1751019273.4873192,509.57853760000035,10703236052
48,1,5,keyPress_Right,1751019276.4281518,512.5200550999998,10706177568
49,1,5,keyPress_Left,1751019282.404713,518.4963375999996,10712153895
50,1,5,stimulusDisplayEnd,1751019283.0870981,519.1788572999994,10712836371
51,1,6,stimulusDisplayStart,1751019287.0963273,523.1880087999998,10716845552
52,1,6,keyPress_Left,1751019291.7551847,527.8464098000004,10721503954
53,1,6,keyPress_Right,1751019296.7972999,532.8891132000008,10726546623
54,1,6,keyPress_Left,1751019313.8651567,549.9564556000005,10743614002
55,1,6,stimulusDisplayEnd,1751019317.14797,553.2395434000009,10746897090
56,1,7,stimulusDisplayStart,1751019321.1652627,557.2570553999994,10750914569
57,1,7,keyPress_Right,1751019326.157741,562.2488923000001,10755906406
58,1,7,keyPress_Left,1751019332.2162566,568.3071940999998,10761964709
59,1,7,keyPress_Right,1751019341.542281,577.6334139999999,10771290963
60,1,7,stimulusDisplayEnd,1751019351.2000513,587.2916017000007,10780949114
61,2,8,stimulusDisplayStart,1751019513.1123688,749.203985600001,10942861531
62,2,8,keyPress_Left,1751019519.2127059,755.3045414000007,10948962057
63,2,8,keyPress_Right,1751019533.5971477,769.6889907000004,10963346506
64,2,8,stimulusDisplayEnd,1751019543.180932,779.2724600000001,10972929982
65,2,9,stimulusDisplayStart,1751019547.1901557,783.2818683000005,10976939390
66,2,9,keyPress_Left,1751019554.4990432,790.5906728999998,10984248187
67,2,9,keyPress_Right,1751019566.4590447,802.5499409000004,10996207457
68,2,9,stimulusDisplayEnd,1751019577.2420163,813.3335628999994,11006991076
69,2,10,stimulusDisplayStart,1751019581.2517853,817.3426866000009,11011000239
70,2,10,keyPress_Right,1751019586.2937987,822.3853003000004,11016042815
71,2,10,keyPress_Left,1751019596.1191676,832.2104488999994,11025867961
72,2,10,stimulusDisplayEnd,1751019611.3111217,847.4026611000008,11041060213
73,2,11,stimulusDisplayStart,1751019615.3194318,851.4108233000006,11045068337
74,2,11,keyPress_Left,1751019618.7794197,854.8703395000011,11048527855
75,2,11,keyPress_Right,1751019622.6791034,858.7705113000011,11052428025
76,2,11,keyPress_Left,1751019634.12329,870.2142229000001,11063871745
77,2,11,stimulusDisplayEnd,1751019645.3551111,881.4468737000007,11075104392
78,3,12,stimulusDisplayStart,1751019760.072255,996.1638557000006,11189821405
79,3,12,keyPress_Left,1751019765.5154476,1001.606249800001,11195263765
80,3,12,keyPress_Right,1751019772.199051,1008.2898886000003,11201947404
81,3,12,keyPress_Left,1751019777.5731978,1013.6649883999999,11207322502
82,3,12,keyPress_Right,1751019787.3991203,1023.4908907000008,11217148403
83,3,12,stimulusDisplayEnd,1751019790.1240609,1026.2154971,11219873046
84,3,13,stimulusDisplayStart,1751019794.1337116,1030.224642700001,11223882158
85,3,13,keyPress_Right,1751019799.2011218,1035.2922839000003,11228949800
86,3,13,keyPress_Left,1751019819.660824,1055.7519606000005,11249409473
87,3,13,stimulusDisplayEnd,1751019824.2101462,1060.3018181999996,11253959361
88,3,14,stimulusDisplayStart,1751019828.228501,1064.319521200001,11257977037
89,3,14,keyPress_Left,1751019834.2283573,1070.3194421000007,11263976958
90,3,14,keyPress_Right,1751019839.5869362,1075.6777134000004,11269335229
91,3,14,keyPress_Left,1751019843.5959127,1079.6872807,11273344824
92,3,14,keyPress_Right,1751019851.154919,1087.2459821000011,11280903495
93,3,14,keyPress_Left,1751019856.780197,1092.8713793999996,11286528894
94,3,14,stimulusDisplayEnd,1751019858.2804532,1094.3714669,11288028982
95,3,15,stimulusDisplayStart,1751019862.2969222,1098.3877625999994,11292045281
96,3,15,keyPress_Left,1751019867.8810496,1103.9721267999994,11297629641
97,3,15,keyPress_Right,1751019868.2380536,1104.3297996000001,11297987312
98,3,15,keyPress_Left,1751019879.3060944,1115.3978458000001,11309055358
99,3,15,stimulusDisplayEnd,1751019892.3398197,1128.4312362,11322088748
100,4,16,stimulusDisplayStart,1751019997.0524316,1233.1437707999994,11426801291
101,4,16,startStimulusRotation_Right,1751019997.053431,1233.1444351999999,11426801939
102,4,16,keyPress_Right,1751019999.4738915,1235.5646727000003,11429222200
103,4,16,startStimulusRotation_Left,1751020000.8229685,1236.9143464999997,11430571860
104,4,16,keyPress_Left,1751020001.5157986,1237.6069437000006,11431264456
105,4,16,startStimulusRotation_Right,1751020005.2732117,1241.3646136000007,11435022134
106,4,16,keyPress_Right,1751020005.9067452,1241.9984382000002,11435655948
107,4,16,startStimulusRotation_Left,1751020013.4072373,1249.4987363,11443156258
108,4,16,keyPress_Left,1751020014.1163585,1250.207120500001,11443864635
109,4,16,startStimulusRotation_Right,1751020016.7822955,1252.8736568000004,11446531168
110,4,16,keyPress_Right,1751020017.5998776,1253.6906400000007,11447348153
111,4,16,startStimulusRotation_Left,1751020020.3579931,1256.4493395000009,11450106888
112,4,16,keyPress_Left,1751020021.1579053,1257.2496032,11450907150
113,4,16,startStimulusRotation_Right,1751020023.4747355,1259.5660836000006,11453223631
114,4,16,keyPress_Right,1751020024.174816,1260.266565,11453924113
115,4,16,stimulusDisplayEnd,1751020027.0913837,1263.1829687999998,11456840513
116,4,17,stimulusDisplayStart,1751020031.109729,1267.2007838999998,11460858339
117,4,17,keyPress_Right,1751020033.576385,1269.6674531999997,11463324975
118,4,17,startStimulusRotation_Left,1751020034.5670578,1270.6584426999998,11464315985
119,4,17,keyPress_Left,1751020035.2677956,1271.3587220000009,11465016267
120,4,17,startStimulusRotation_Right,1751020037.2758217,1273.3675139000006,11467025035
121,4,17,keyPress_Right,1751020038.0183337,1274.1093879,11467766909
122,4,17,startStimulusRotation_Left,1751020040.5098672,1276.6009097000006,11470258424
123,4,17,keyPress_Left,1751020041.1437192,1277.2349135000004,11470892426
124,4,17,startStimulusRotation_Right,1751020043.342884,1279.4343592000005,11473091901
125,4,17,keyPress_Right,1751020044.5607724,1280.6521181999997,11474309629
126,4,17,startStimulusRotation_Left,1751020047.6265314,1283.7179340000002,11477375448
127,4,17,keyPress_Left,1751020048.5849714,1284.6766464000011,11478334190
128,4,17,startStimulusRotation_Right,1751020051.8114946,1287.902508700001,11481560022
129,4,17,keyPress_Right,1751020053.1270084,1289.2187035999996,11482876215
