,blockID,trialNumber,triggerName,timestamp_sys,timestamp_psyc,timestamp_tobii
0,pract,0,stimulusDisplayStart,1749215332.7407143,11.60829079999894,23094350134
1,pract,0,keyPress_Right,1749215352.776394,31.64427119999891,23114386109
2,pract,0,stimulusDisplayEnd,1749215362.751122,41.619464899999,23124361312
3,pract,1,stimulusDisplayStart,1749215366.7698605,45.6373754999986,23128379212
4,pract,1,keyPress_Left,1749215376.0782936,54.946026900001016,23137687864
5,pract,1,keyPress_Right,1749215394.8716033,73.73905749999903,23156480895
6,pract,1,stimulusDisplayEnd,1749215396.7799733,75.64749149999989,23158389330
7,0,0,stimulusDisplayStart,1749215624.9211376,303.78932369999893,23386531169
8,0,0,keyPress_Right,1749215631.9387763,310.80688290000035,23393548727
9,0,0,keyPress_Left,1749215642.6067314,321.47454629999993,23404216383
10,0,0,keyPress_Right,1749215647.698533,326.5662263999984,23409308121
11,0,0,stimulusDisplayEnd,1749215654.931484,333.7996744999982,23416541545
12,0,1,stimulusDisplayStart,1749215658.9494226,337.81686099999934,23420558702
13,0,1,keyPress_Right,1749215662.8999557,341.7679916999987,23424509830
14,0,1,keyPress_Left,1749215669.9004958,348.76800119999825,23431509838
15,0,1,keyPress_Right,1749215676.983869,355.8517240000001,23438593594
16,0,1,stimulusDisplayEnd,1749215688.9585292,367.826871199999,23450568713
17,0,2,stimulusDisplayStart,1749215692.9762416,371.8444653000006,23454586298
18,0,2,keyPress_Left,1749215696.0186644,374.88622939999914,23457628071
19,0,2,keyPress_Right,1749215711.694782,390.5622116000013,23473304047
20,0,2,keyPress_Left,1749215715.6704826,394.53812219999963,23477279956
21,0,2,stimulusDisplayEnd,1749215722.9785924,401.8462408999985,23484588075
22,0,3,stimulusDisplayStart,1749215726.987744,405.8552286000013,23488597068
23,0,3,keyPress_Right,1749215733.6634521,412.5310184000009,23495272854
24,0,3,keyPress_Left,1749215737.4635577,416.33108260000154,23499072917
25,0,3,keyPress_Right,1749215740.2972386,419.1650913000012,23501906928
26,0,3,keyPress_Left,1749215747.1387196,426.0068280000014,23508748663
27,0,3,keyPress_Right,1749215752.046957,430.91536070000075,23513657233
28,0,3,keyPress_Left,1749215754.6811364,433.54900909999924,23516290848
29,0,3,stimulusDisplayEnd,1749215757.0052311,435.87355079999907,23518615421
30,1,4,stimulusDisplayStart,1749215882.6573973,561.5255873999995,23644267429
31,1,4,keyPress_Right,1749215888.1250787,566.9928051999996,23649734647
32,1,4,keyPress_Left,1749215889.50751,568.375307899998,23651117142
33,1,4,keyPress_Right,1749215892.1916258,571.0591316999999,23653800968
34,1,4,keyPress_Left,1749215894.4084973,573.2759507999981,23656017786
35,1,4,keyPress_Right,1749215897.0834188,575.9509308000015,23658692767
36,1,4,keyPress_Left,1749215903.6926615,582.560858599998,23665302704
37,1,4,keyPress_Right,1749215905.651171,584.5188595,23667260694
38,1,4,keyPress_Left,1749215907.9012866,586.7690694999983,23669510904
39,1,4,keyPress_Right,1749215910.2089596,589.0768079000009,23671818645
40,1,4,stimulusDisplayEnd,1749215912.6767604,591.5443737999994,23674286210
41,1,5,stimulusDisplayStart,1749215916.684368,595.5526810999982,23678294525
42,1,5,keyPress_Left,1749215919.6854868,598.5530169000012,23681294853
43,1,5,keyPress_Right,1749215923.1680808,602.0364979000005,23684778336
44,1,5,keyPress_Left,1749215925.9860084,604.8539896000002,23687595824
45,1,5,keyPress_Right,1749215929.6431782,608.5115388000013,23691253418
46,1,5,keyPress_Left,1749215934.0280302,612.8956074999987,23695637454
47,1,5,keyPress_Right,1749215937.361433,616.2293735999992,23698971211
48,1,5,keyPress_Left,1749215941.7864525,620.654140300001,23703395977
49,1,5,keyPress_Right,1749215943.6365945,622.5048792999987,23705246716
50,1,5,stimulusDisplayEnd,1749215946.7024598,625.5707303999989,23708312568
51,1,6,stimulusDisplayStart,1749215950.712574,629.5803028999981,23712322144
52,1,6,keyPress_Left,1749215952.5045838,631.3728168000016,23714114651
53,1,6,keyPress_Right,1749215954.0377452,632.9052854000001,23715647129
54,1,6,keyPress_Left,1749215954.9626305,633.8309646000016,23716572809
55,1,6,keyPress_Right,1749215964.271445,643.1391093999991,23725880945
56,1,6,keyPress_Left,1749215966.9716084,645.8398430000016,23728581685
57,1,6,keyPress_Right,1749215969.0884252,647.9561620999993,23730698001
58,1,6,keyPress_Left,1749215977.130154,655.9985575999999,23738740395
59,1,6,keyPress_Right,1749215980.1480033,659.0160037999995,23741757840
60,1,6,stimulusDisplayEnd,1749215980.7221358,659.5905042999984,23742332343
61,1,7,stimulusDisplayStart,1749215984.7396615,663.607710799999,23746349547
62,1,7,keyPress_Left,1749215987.6155941,666.4830800999989,23749224916
63,1,7,keyPress_Right,1749215989.123729,667.991790600001,23750733658
64,1,7,keyPress_Left,1749215992.5411088,671.408668600001,23754150503
65,1,7,keyPress_Right,1749215995.623965,674.4919358000006,23757233772
66,1,7,keyPress_Left,1749215997.8658473,676.7337498999987,23759475588
67,1,7,keyPress_Right,1749216005.8000233,684.6680497000016,23767409886
68,1,7,keyPress_Left,1749216009.8669806,688.7346614999988,23771476497
69,1,7,keyPress_Right,1749216012.4084787,691.2766881999996,23774018523
70,1,7,stimulusDisplayEnd,1749216014.7571878,693.6255114999985,23776367349
71,2,8,stimulusDisplayStart,1749216134.4589348,813.3272671000013,23896069148
72,2,8,keyPress_Right,1749216136.6763346,815.5439392000008,23898285817
73,2,8,keyPress_Left,1749216137.8432808,816.7108287999981,23899452700
74,2,8,keyPress_Right,1749216138.785017,817.6529749000001,23900394818
75,2,8,keyPress_Left,1749216140.3096702,819.1772810000002,23901919151
76,2,8,keyPress_Right,1749216141.217851,820.0855056,23902827342
77,2,8,keyPress_Left,1749216142.392976,821.2606010999989,23904002446
78,2,8,keyPress_Right,1749216147.6104476,826.4782305000008,23909220076
79,2,8,keyPress_Left,1749216152.9682097,831.836636699998,23914578472
80,2,8,stimulusDisplayEnd,1749216164.4603758,843.3287521999991,23926070590
81,2,9,stimulusDisplayStart,1749216168.4780555,847.3463961000016,23930088271
82,2,9,keyPress_Right,1749216171.8789427,850.7470668999995,23933488905
83,2,9,keyPress_Left,1749216175.762863,854.6310362000004,23937372905
84,2,9,keyPress_Right,1749216179.153942,858.0222625999995,23940764103
85,2,9,keyPress_Left,1749216182.7043574,861.5721316999989,23944313968
86,2,9,keyPress_Right,1749216183.204546,862.0719962000003,23944813832
87,2,9,keyPress_Left,1749216190.0049875,868.8727862999986,23951614661
88,2,9,stimulusDisplayEnd,1749216198.4881876,877.356285599999,23960098156
89,2,10,stimulusDisplayStart,1749216202.496578,881.3646518999994,23964106519
90,2,10,keyPress_Left,1749216205.8228905,884.6910787999986,23967432952
91,2,10,keyPress_Right,1749216212.481834,891.3499570999993,23974091796
92,2,10,keyPress_Left,1749216220.9491708,899.8166867,23982558533
93,2,10,keyPress_Right,1749216224.448191,903.3166186999988,23986058456
94,2,10,keyPress_Left,1749216225.9910958,904.8589436000002,23987600782
95,2,10,keyPress_Right,1749216229.6080801,908.4757002000006,23991217537
96,2,10,stimulusDisplayEnd,1749216232.5153296,911.3836632999992,23994125503
97,2,11,stimulusDisplayStart,1749216236.5256915,915.393293699999,23998135128
98,2,11,keyPress_Left,1749216238.5424674,917.4099338000015,24000151770
99,2,11,keyPress_Right,1749216247.3680842,926.2357908999984,24008977627
100,2,11,keyPress_Left,1749216250.7263966,929.5938778999989,24012335714
101,2,11,keyPress_Right,1749216253.118439,931.9859087000004,24014727743
102,2,11,keyPress_Left,1749216258.8268223,937.6947709999986,24020436639
103,2,11,keyPress_Right,1749216262.5355837,941.4030864999986,24024144924
104,2,11,stimulusDisplayEnd,1749216266.5526044,945.4202506000001,24028162086
105,3,12,stimulusDisplayStart,1749216380.9520586,1059.8204466999996,24142562317
