,blockID,trialNumber,triggerName,timestamp_sys,timestamp_psyc,timestamp_tobii
0,pract,0,stimulusDisplayStart,1749201525.8039675,146.27427290000014,9287414235
1,pract,0,keyPress_Right,1749201538.6226833,159.092535400001,9300232482
2,pract,0,stimulusDisplayEnd,1749201555.8071067,176.27664640000148,9317416590
3,pract,1,stimulusDisplayStart,1749201559.822676,180.29253360000075,9321432476
4,pract,1,keyPress_Right,1749201565.2999566,185.76962980000098,9326909575
5,pract,1,stimulusDisplayEnd,1749201589.8421307,210.31207429999995,9351452051
6,0,0,stimulusDisplayStart,1749201768.8889043,389.35881580000023,9530498769
7,0,0,keyPress_Right,1749201771.473418,391.9433718,9533083316
8,0,0,keyPress_Left,1749201781.7406178,402.21051080000143,9543350503
9,0,0,keyPress_Right,1749201789.0154629,409.48548050000136,9550625456
10,0,0,stimulusDisplayEnd,1749201798.8993654,419.36943620000056,9560509387
11,0,1,stimulusDisplayStart,1749201802.907916,423.3780940000015,9564518043
12,0,1,keyPress_Right,1749201804.3422732,424.81182770000123,9565951779
13,0,1,keyPress_Left,1749201809.6512077,430.12069560000054,9571260642
14,0,1,keyPress_Right,1749201824.310267,444.77983210000093,9585919775
15,0,1,stimulusDisplayEnd,1749201832.9270763,453.3972039,9594537178
16,0,2,stimulusDisplayStart,1749201836.944471,457.41447770000013,9598554427
17,0,2,keyPress_Right,1749201837.7533178,458.22330930000135,9599363252
18,0,2,keyPress_Left,1749201838.4784524,458.9484633000011,9600088407
19,0,2,keyPress_Right,1749201843.4370823,463.9064268000002,9605046370
20,0,2,keyPress_Left,1749201850.9456875,471.4154225000002,9612555368
21,0,2,keyPress_Right,1749201860.0047204,480.4743847999998,9621614334
22,0,2,keyPress_Left,1749201866.8968785,487.3664787000016,9628506432
23,0,2,stimulusDisplayEnd,1749201866.9457564,487.4157782000002,9628555752
24,0,3,stimulusDisplayStart,1749201870.953908,491.4237881000008,9632563779
25,0,3,keyPress_Left,1749201873.0972862,493.5667852000006,9634706735
26,0,3,keyPress_Right,1749201877.3476074,497.81741200000033,9638957355
27,0,3,stimulusDisplayEnd,1749201900.982708,521.4521535000003,9662592098
28,1,4,stimulusDisplayStart,1749202038.7593915,659.2289801000006,9800368924
29,1,4,keyPress_Right,1749202041.4100952,661.8794499000014,9803019396
30,1,4,keyPress_Left,1749202043.409007,663.8792266,9805019175
